,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2019年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2020年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2021年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2022年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2023年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2025年
省份,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,全省一般公共预算收入,政府性基金收入,综合财力,政府性债务余额,地方政府债务限额,测算的政府债务率,城投带息债务余额,调整后债务率,政府债务率红橙黄绿,调整后债务率红橙黄绿,政府性债务余额
青海,282,245,"2,097","2,102","2,285",100.20%,807,138.80%,绿,黄,298,187,"2,237","2,454","2,711",109.70%,691,140.60%,绿,黄,329,199,"2,366","2,787","3,075",117.80%,401,134.80%,绿,黄,329,93,"2,481","3,044","3,261",122.70%,384,138.20%,黄,黄,381,70,"2,686","3,337","3,366",124.20%,564,145.20%,黄,黄,371,64,"2,759","3,573","3,796",129.50%,366,142.80%,黄,黄," 3,827 "
山东,"6,527","6,743","17,971","13,128","14,308",73.00%,"24,767",210.90%,绿,橙,"6,560","7,279","18,685","16,592","17,900",88.80%,"33,629",268.80%,绿,橙,"7,284","7,977","20,665","19,992","21,144",96.70%,"41,072",295.50%,绿,橙,"7,104","6,080","21,032","23,588","24,416",112.20%,"47,002",335.60%,绿,红,"7,465","4,925","20,109","27,521","27,732",136.90%,"52,170",396.30%,黄,红,"7,712","4,832","21,358","32,811","35,721",153.60%,"56,305",417.20%,黄,红," 38,547 "
山西,"2,348","1,186","6,172","3,512","3,799",56.90%,"3,266",109.80%,绿,绿,"2,297","1,152","6,266","4,612","4,833",73.60%,"3,632",131.60%,绿,黄,"2,835",980,"6,457","5,414","5,692",83.80%,"3,984",145.50%,绿,黄,"3,454",629,"6,648","6,286","6,506",94.60%,"4,318",159.50%,绿,黄,"3,479",602,"7,851","7,083","7,221",90.20%,"4,655",149.50%,绿,黄,"3,542",521,"8,154","8,280","9,199",101.50%,"7,840",197.70%,绿,黄," 9,643 "
陕西,"2,288","1,860","7,934","6,532","7,228",82.30%,"15,674",279.90%,绿,橙,"2,257","2,105","8,611","6,892","8,455",80.00%,"18,234",291.80%,绿,橙,"2,775","2,385","8,937","8,688","9,578",97.20%,"17,777",296.10%,绿,橙,"3,312","1,963","8,508","9,787","10,590",115.00%,"19,029",338.70%,绿,红,"3,437","1,786","10,200","10,855","11,366",106.40%,"20,115",303.60%,绿,红,"3,393","1,672","9,848","12,577","14,153",127.70%,"19,427",325.00%,黄,红," 14,349 "
上海,"7,165","2,418","11,217","5,722","8,577",51.00%,"7,171",114.90%,绿,绿,"7,046","3,175","12,541","6,892","9,723",55.00%,"8,755",124.80%,绿,黄,"7,772","3,769","13,444","7,357","10,603",54.70%,"9,812",127.70%,绿,黄,"7,608","4,042","14,634","8,539","11,303",58.30%,"10,647",131.10%,绿,黄,"8,313","3,467","14,735","8,832","9,906",59.90%,"13,973",154.80%,绿,黄,"8,374","3,203","14,056","9,091","10,295",64.70%,"15,082",172.00%,绿,黄," 10,420 "
四川,"4,071","4,185","14,744","10,577","11,731",71.70%,"27,093",255.50%,绿,橙,"4,258","4,779","16,682","12,743","13,987",76.40%,"34,547",283.50%,绿,橙,"4,773","4,951","16,914","15,238","16,293",90.10%,"40,710",330.80%,绿,红,"4,882","4,781","18,454","17,705","18,507",95.90%,"48,475",358.60%,绿,红,"5,529","4,516","19,581","20,270","20,937",103.50%,"55,160",385.20%,绿,红,"5,635","3,761","20,861","24,029","26,903",115.20%,"56,541",386.20%,绿,红," 28,015 "
天津,"2,410","1,431","5,015","4,959","5,054",98.90%,"14,659",391.20%,绿,红,"1,923",912,"4,167","6,368","6,841",152.80%,"14,281",495.60%,黄,红,"2,141","1,126","4,254","7,882","7,982",185.30%,"14,025",515.00%,黄,红,"1,847",424,"3,807","8,646","8,890",227.10%,"14,918",618.90%,橙,红,"2,027",590,"4,465","11,117","11,646",249.00%,"16,358",615.40%,橙,红,"2,134",689,"5,023","13,403","15,074",266.80%,"14,881",563.10%,橙,红," 15,099 "
西藏,222,75,"2,526",251,326,9.90%,531,31.00%,绿,绿,221,88,"2,624",375,454,14.30%,639,38.60%,绿,绿,213,46,"2,927",496,554,16.90%,708,41.10%,绿,绿,180,35,"3,571",568,645,15.90%,532,30.80%,绿,绿,237,38,"3,868",682,701,17.60%,592,32.90%,绿,绿,277,41,"3,921","1,226","1,243",31.30%,714,49.50%,绿,绿," 1,490 "
新疆,"1,577",528,"5,743","4,972","5,386",86.60%,"5,345",179.70%,绿,黄,"1,477",591,"6,196","6,176","6,084",99.70%,"5,917",195.20%,绿,黄,"1,619",606,"6,152","6,627","7,168",107.70%,"6,016",205.50%,绿,橙,"1,889",529,"6,728","9,001","9,600",133.80%,"6,452",229.70%,黄,橙,"2,180",489,"7,728","8,957","9,590",115.90%,"7,215",209.30%,绿,橙,"2,409",535,"8,150","10,891","11,890",133.60%,"6,006",207.30%,黄,橙," 12,835 "
云南,"2,074","1,584","8,385","8,108","9,341",96.70%,"14,456",269.10%,绿,橙,"2,117","1,559","9,048","9,592","10,784",106.00%,"16,377",287.00%,绿,橙,"2,278","1,087","9,331","10,952","12,266",117.40%,"17,600",306.00%,绿,红,"1,949",621,"8,082","12,098","13,165",149.70%,"18,170",374.50%,黄,红,"2,149",653,"8,297","14,441","14,963",174.00%,"19,132",404.60%,黄,红,"2,193",743,"8,812","16,319","18,552",185.20%,"18,800",398.50%,黄,红," 18,321 "
浙江,"7,048","10,608","20,193","12,309","13,166",61.00%,"38,683",252.50%,绿,橙,"7,248","11,353","21,186","14,642","15,380",69.10%,"47,843",294.90%,绿,橙,"8,263","11,647","22,834","17,427","18,033",76.30%,"58,173",331.10%,绿,红,"8,039","10,069","23,320","20,169","20,717",86.50%,"69,967",386.50%,绿,红,"8,600","8,363","22,701","22,886","23,341",100.80%,"84,440",472.80%,绿,红,"8,706","6,169","21,504","27,280","29,462",126.90%,"91,396",551.90%,黄,红," 32,073 "
重庆,"2,135","2,248","7,261","5,604","6,049",77.20%,"14,855",281.80%,绿,橙,"2,095","2,458","7,979","6,799","7,542",85.20%,"16,680",294.20%,绿,橙,"2,285","2,358","7,738","8,610","8,903",111.30%,"18,297",347.70%,绿,红,"2,103","1,754","6,656","10,071","10,281",162.40%,"20,790",497.80%,黄,红,"2,441","1,879","8,884","12,258","12,287",138.00%,"23,028",397.20%,黄,红,"2,595","1,723","8,819","14,425","15,991",163.60%,"22,417",417.80%,黄,红," 16,782 "
